grammarPointName,sentence1,sentence2,sentence3,sentence1English,sentence2English,sentence3English,englishGrammarPointMeaning
"1. ～せい","電車が遅れたせいで、ちこくしました。",,,"It was the train’s fault that I was late.",,,"~'s fault"
"2. ～おかげ","先生のおかげで、目標をたっせいすることができました。",,,"Thanks to my teacher, I was able to achieve my goals.",,,"thanks to ~"
"3. ～もの","そんなに食べられないよ、お腹いっぱいだもの。",,,"I can’t eat that much, because my stomach is full.",,,"because ~"
"4. ～ため","忙しいため、ゲームができません。",,,"Because I’m busy, I can’t play games.",,,"because ~"
"5. ～のだから","せっかく学校の近くに来たんだから、先生に会いに行きましょう。",,,"We’re already near the school, so let’s go visit our teacher.",,,"so ~ / because ~"
"6. ～をきっかけに","日本のアニメを見始めたことをきっかけに、日本語の勉強を始めました。",,,"Ever since I saw anime for the first time, I started studying Japanese.",,,"because of ~ / ever since ~"
"7. ～わけだ","彼は3年間、日本で働いたことがあるそうだ。日本語が上手なわけだ。",,,"Apparently he worked in Japan for three years, so that’s why he’s good at Japanese.",,,"because ~ / that’s why ~"
"8. ～以来","病気になって以来、お酒は飲んでいません。",,,"Ever since I got sick, I don’t drink anymore.",,,"ever since ~ it’s always been"
"9. ～によって①","子供が生まれたことによって、考え方が変わった。",,,"Ever since I had kids, my thinking has changed.",,,"because ~ / ever since ~"
"10. ～まま","テレビをつけたまま、出かけました。",,,"I left the TV on when I went out.",,,"left in that state without changing"
"11. ～つつ","周りに気を付けつつ、作業を進めましょう。",,,"Let’s work while minding our surroundings.",,,"while ~"
"12. ～とともに","試合が始まるにとも、観客が応援を始めた。",,,"As the game starts, the spectators start cheering.",,,"as ~ happens, something else happens"
"13. ～つつある","地震でこわれた建物が、直りつつある。",,,"The buildings destroyed in the earthquake are gradually being fixed.",,,"gradually becoming ~"
"14. ～ば～ほど","本は読めば読むほど、役に立ちます。",,,"If you’re going to read books, then read a lot, because they’ll come in handy.",,,"if you’re going to ~ then ~ as much as possible"
"15. ～にしたがって","運動をするにしたがって、どんどん元気になってきた。",,,"After I started exercising, my health got better and better.",,,"If you do ~, ~ will gradually change"
"16. ～ばかり①","仕事が増えるので、忙しくなるばかりだ。",,,"Work is piling up, so I’m getting busier and busier.",,,"~ gradually gets (worse)"
"17. ～として","リーダーとして、みんなの意見を聞く。",,,"As a leader, I listen to everyone’s opinions.",,,"as a ~"
"18. ～にとって","この仕事は彼にとって大きなちょうせんです。",,,"To him, this job was a big challenge.",,,"to ~ / in ~’s view"
"19. ～に基づいた","ゆか先生のアドバイスに基づいて勉強していく。",,,"I study using Yuka-sensei’s advice as a guide.",,,"to base on / to use as a guide"
"20. ～を中心に","この映画は家族愛を中心に作られています。",,,"This movie was made with the theme of familial love as its core.",,,"to treat ~ as the core of ~"
"21. ～とおり","メモに書いてあるとおり買ってきました！",,,"I bought it. Just like the memo said to do.",,,"exactly as (written/said/etc.)"
"22. ～という","あさくさという地域は観光客に人気です。",,,"The area called Asakusa is popular with tourists.",,,"a ~ called ~"
"23. ～に対して","お客さんに対して失礼なことをしないように注意しましょう。",,,"With regard to customers, let’s be careful to avoid being rude to them.",,,"when it comes to ~ / with regard to ~ (people)"
"24. ～について","その映画についてどう思いますか？",,,"What do you think about that movie?",,,"about ~"
"25. ～に関して","分からないことに関して、調べながら勉強しています。",,,"When it comes to things I don’t understand, I look them up while studying.",,,"when it comes to ~ / with regard to ~ (details)"
"26. ～わけではない","なっとうが嫌いなわけではないんですが、おいしいと思いません。",,,"It’s not that I hate natto, but I don’t consider it delicious.",,,"It’s not that ~"
"27. ～ながら","たくさん注意をされながら、完成させました。",,,"Though we received many warnings along the way, the project was completed.",,,"while ~ / although ~ (stating circumstance)"
"28. ～かわりに①","この魚は新鮮なかわりに少し高いです。",,,"In exchange for the freshness of the fish, it’s a bit more expensive.",,,"in exchange for ~"
"29. ～反面","彼は勉強が得意な反面、運動は苦手です。",,,"On the bright side, he’s good at studying, but unfortunately he’s bad at exercising.",,,"on the bright side ~, on the dark side ~"
"30. ～ようがない","これだけ勉強してもできないなら、勉強しようがない。",,,"If you’ve studied that much and still can’t do it, then there’s no way to learn it.",,,"there’s no way to ~"
"31. ～がたい","今までの経験はお金には代えがたいものだ。",,,"It’ll be difficult to turn my experience up till now into a way to earn money.",,,"it’s difficult to ~"
"32. ～ずに","電話をかけずにメールで連絡しました。",,,"I contacted them through text, without making a phone call.",,,"without doing ~"
"33. ～はずがない／～わけがない","三回も洗濯したんだ。汚いはずがない。",,,"I washed it three times. It can’t possibly be dirty.",,,"it can’t possibly be ~ it’s definitely not ~"
"34. ～くらい","死にそうなくらいお腹がすいた。",,,"I was so hungry it seemed like I would die.",,,"like / as if (simile)"
"35. ～ほど","さけびそうになるほど、嫌なことがあった。",,,"I had such an unpleasant experience that I felt like I was going to scream.",,,"like / as if (simile)"
"36. ～だらけ","会議のために作った資料が、間違いだらけだった。",,,"The materials prepared for the meeting had mistakes all over them.",,,"there are ~ everywhere (all over the place)"
"37. ～やすい","彼女の説明はとても分かりやすい。",,,"Her explanations are very easy to understand.",,,"easy to ~"
"38. ～はず","彼は時間通りに来るはずですよ。",,,"He’ll definitely come on time.",,,"it’s definitely ~"
"39. ～ずにはいられない","汚い部屋を見たら、片付けずにはいられない。",,,"When I see a messy room, I can’t not tidy it up.",,,"I can’t not do ~ (double negative)"
"40. ～くらい～はない","ご飯の時間くらい幸せなときはないです。",,,"There’s nothing as joyful as mealtime.",,,"there’s nothing as ~ as"
"41. ～まで","彼は英語が得意で、さらに日本語まで話せる。",,,"He’s good at English, and on top of that, he can even speak Japanese.",,,"even ~"
"42. ～ほど～はない","日本に東京スカイツリーほど高い建物はない。",,,"There are no buildings in Japan as tall as the Tokyo Skytree.",,,"there’s nothing as ~ as"
"43. ～てしかたがない","勉強ばかりしているので、遊びたくて仕方がない。",,,"All I’ve been doing is studying. I want to have fun so badly.",,,"so badly / so much"
"44. ～に違いない","彼は毎日おそくまで働いているのだから、疲れているに違いない。",,,"He works late every day. No doubt he’s exhausted.",,,"it has to be ~ / without a doubt it’s ~"
"45. ～に対して②","今日東京は晴れなのに対して、大阪では雨が降っている。",,,"While it’s sunny in Tokyo today, in Osaka it’s raining.",,,"while ~ is one way, ~ is another"
"46. ～どころか","車とぶつかったなら、痛いどころか、普通のけがではすまない。",,,"If you get into a car crash, it won’t just hurt, you won’t make it out with only slight injuries.",,,"it’s not just ~ it’s way worse"
"47. ～に比べて","日本のすっぱいキャンディーはアメリカのキャンディーに比べて、そんなにすっぱくないです。",,,"Compared to the sour candy in the US, Japan’s sour candy isn’t all that sour.",,,"compared to ~"
"48. ～がる","彼はみんなの前で間違えて悔しがっていました。",,,"He seemed frustrated about messing up in front of everyone.",,,"~ seems to be (describing other people's emotions)"
"49. ～ようとする","今から勉強をしようとしていました。",,,"I just tried to start studying.",,,"trying to ~ / attempting to ~"
"50. ～そう①","なぜか彼女は最近すごく幸せそうだ。",,,"She seems really happy recently for some reason.",,,"looks like ~ / feels like ~ / seems like ~"
"51. ～そう②","机にぶつかった時、コップが落ちそうになっていた。",,,"When I hit into the desk, it seemed like the cup was about to fall.",,,"seems like it’s about to ~"
"52. ～だろう","明日はいい天気になるだろう。",,,"Tomorrow’s weather will probably be good.",,,"probably ~"
"53. ～みたい","ここの道路は信号があるので安全みたいだね。",,,"This street has a stoplight, so it seems safe.",,,"① it looks like ~ / it seems ~ ② I think it’s ~"
"54. ～にあたって","日本へ行くにあたって、部屋の片付けをしなければならない。",,,"Before going to Japan, I have to clean up my room.",,,"before / when"
"55. ～際","この道を通る際は足元に注意してください。",,,"Be careful when you pass through that path.",,,"when ~"
"56. ～ところに","遊びにいこうとしていたところに会社から電話がかかってきた。",,,"I was about to go out, when I got a phone call.",,,"be about to ~"
"57. ～に先立って","試験開始に先立って気を付けなければいけないことを説明します。",,,"I’ll explain the important points before the exam begins.",,,"before ~ (do the necessary preparations)"
"58. ～ばかり②","新しいゲームを買ったばかりなので、今日はどこにも行きません。",,,"I just bought a new game so I’m not planning to go anywhere today.",,,"just did ~"
"59. ～たところ","今、買い物が終わったところですよ。",,,"I have just finished shopping.",,,"have just done ~"
"60. ～たびに","実家に帰るたびに昔のころを思い出す。",,,"Every time I return to my parent’s house, I remember the past.",,,"every time I ~"
"61. ～おきに","1時間おきに、すこし休むようにしています。",,,"I try to take short breaks every hour.",,,"at every (interval of time)"
"62. ～ごとに","買い物をすごとに、ポイントがもらえる。",,,"Every time I go shopping, I earn points.",,,"every ~"
"63. ～間","洗濯機で服を洗っている間に、ご飯を作った。",,,"I cooked a meal while waiting for the laundry.",,,"while ~"
"64. ～うちに","彼が寝ているうちにプリンを食べてしまおう。",,,"Let’s eat all the pudding while he’s still sleeping.",,,"while it’s still ~ (before the situation changes)"
"65. たとえ～ても","たとえ誰かにバカにされても、私は最後まであきらめない。",,,"Even if someone makes fun of me, I will never give up till the end.",,,"even if ~"
"66. ～ことにする","この服はもう小さいので、捨てることにする。",,,"Since the clothes are too small to wear, I decided to throw them away.",,,"decide to do ~"
"67. ～次第","この仕事が終わり次第、すぐ向かいます。",,,"As soon as I finish the work, I’ll be on my way.",,,"as soon as ~"
"68. ～としたら","もし旅行に行くとしたら、大阪へ行ってみたい。",,,"If I were to go on a trip, I would want to visit Osaka.",,,"If ~ were to actually happen"
"69. ～てからでないと","テストが終わってからでないと安心できません。",,,"I can’t feel relieved until my exams are over.",,,"cannot do ~ until"
"70. ～によって②","会社によって、働き方がぜんぜん違う。",,,"Each company’s way of working is completely different.",,,"depends on ~ / each ~"
"71. ～ように①","仕事が休みのときは落ち着けるように、静かな場所に行く。",,,"When I’m off from work, I go someplace quiet in order to relax.",,,"in order to do ~"
"72. ～には","家に帰るには、山を登らなければならない。",,,"In order to get home, I have to climb a mountain.",,,"in order to do ~"
"73. ～しかない","失敗してくやしいときは、あきらめないで続けていくしかない。",,,"After a frustrating failure, the only thing to do is keep going.",,,"the only thing to do ~ (that's all there is)"
"74. ～ほかない","何度注意しても試験中に話すなら、部屋から出てもらうほかない。",,,"If you’re going to keep talking during the exam after being warned multiple times, I’ll have no choice but to ask you to leave the room.",,,"no choice but to ~ (there's no other way)"
"75. ～によって③","こわれている道は、工事によって直される。",,,"The broken road will be fixed by construction work.",,,"by ~ / using ~"
"77. ～始める","音楽が始まると、みんなおどり始めた。",,,"Once the music began, everyone started to dance.",,,"to start ~"
"78. ～ことになっている","土曜日は会社に行くことになっている。",,,"It’s been decided that we’ll have to go into work on Saturday.",,,"it’s been decided that ~"
"79. ～なくちゃ","来週の海外旅行のために、準備しなくちゃ。",,,"I have to prepare for my trip abroad next week.",,,"have to ~"
"80. ～ことはない","寒いので、無理してでかけることはないですよ。",,,"It’s cold, so there’s no need to force yourself to go out.",,,"there’s no need to ~"
"81. ～べき","不安なら、しっかり準備するべきだ。",,,"If you’re anxious about it, then you should prepare thoroughly.",,,"should ~"
"82. ～ように②","この道は車が多くて危ないので、気を付けるように。",,,"This road is filled with cars, so it’s dangerous. Please be careful.",,,"please do ~"
"83. ～こと","面接のときは元気よくあいさつをすること。",,,"When you go for an interview, be sure to greet the interviewer.",,,"be sure to ~"
"84. ～なんか①","お昼ご飯にカレーなんかどう？",,,"What do you think about curry or something for lunch?",,,"~ or something"
"85. ～ばかりでなく","この家は見た目が良いばかりでなく、住むのにも便利ですね。",,,"This house doesn’t just look nice, it’s also very convenient to live in.",,,"not just ~ but also ~"
"86. ～とか～とか","仕事とか、家の片付けとか、することが多すぎるよ。",,,"Between things like work and cleaning up at home, I have way too much to do.",,,"listing examples"
"87. ～はもとより","漢字はもとより、敬語も勉強する必要があります。",,,"Of course you should study kanji, but studying keigo is also necessary.",,,"of course ~ but also ~"
"88. ～だけでなく","この本は面白いだけでなく勉強にもなります。",,,"This book isn’t just interesting, it’s also informative.",,,"not just ~ but also ~"
"89. ～かわりに②","休日に仕事をしたかわりに、月曜日に休みます。",,,"In exchange for working on my day off, I won’t work on Monday.",,,"① in place of ~ ② do one thing, someone else does ~ in return"
"90. ～そう③","明日は大雨になるそうですよ。",,,"Apparently it’s supposed to rain tomorrow.",,,"apparently ~ (quoting something)"
"91. ～ということだ","ゆか先生によると、海外での経験はとても役に立つということだ。",,,"According to Yuka-sensei, it’s very important to experience going abroad.",,,"apparently ~ (quoting something)"
"92. ～きる","なんとか試験まで勉強をやりきった。",,,"Somehow I managed to finish studying in time for the exam.",,,"do completely"
"93. ～られる","友達からもらったプレゼントにはおどろかされた。",,,"I was surprised by the present my friend gave me.",,,"felt ~ / was ~ (passively)"
"94. ～だけ","ここでは食べられるだけ食べてください！",,,"Feel free to eat as much as you can!",,,"as much as you can"
"95. ～ことがある","歌を歌うことがあるので、家にギターがある。",,,"Sometimes I sing songs, so I keep a guitar at my house.",,,"① sometimes ② to have the experience of"
"96. つい～てしまう","きれいなワンピースを見つけたので、つい買ってしまった。",,,"I found a cute dress and bought it without thinking.",,,"to do without intending to"
"97. ～てほしい","この手紙を彼に渡してほしい。",,,"I want you to give him this letter.",,,"I want you to ~ / I wish you would ~"
"98. ～なんか②","私なんかまだひらがなも分かりません。",,,"Me? I don't even understand hiragana.",,,"express exasperation about the subject"
"99. なんて～だろう","日本に来たとき、なんてきれいなところだろう！と感動した。",,,"When I came to Japan for the first time, I was wowed because it was so beautiful!",,,"it’s so ~!"
"100. ～ように③","明日の試合がうまくいきますように。",,,"Let’s hope tomorrow’s match goes well.",,,"let's hope ~"
"101. お／ご～する","詳しい内容はこの後、ご説明します。",,,"I will explain in detail afterwards.",,,"humble verb expression"
"102. お／ご～になる","はっとり先生でしたら、明日のお昼にお越しになります。",,,"Hattori-sensei will be coming tomorrow in the afternoon.",,,"polite expression for other’s actions"
"103. お／ご～くださる","お手伝いくださり、ありがとうございます。",,,"Thank you for helping me.",,,"someone does for me (humble)"
"104. お／ご～いただく","ご理解いただき、心からお礼申し上げます。",,,"I want to thank you so much for your understanding.",,,"to have someone do for you (humble)"
"105. お／ご～申し上げる","とても助かりました。心からお礼申し上げます。",,,"You've been so helpful. I'd like to say thank you from the bottom of my heart.",,,"to say (humble)"
"106. ～ございます","こちらが私の名刺でございます。",,,"This is my business card.",,,"humble version of ～です／～ある"
"107. ～ております","社長は、ただいま会議に参加しております。",,,"The boss is in a meeting right now.",,,"is doing (humble)"
"108. ～と申します","わたくしは日本語の森のタラと申します。",,,"I’m Tara from NIHONGONOMORI.",,,"my name is ~ (humble)"
"109. お目にかかる","ゆか先生にお目にかかることをたのしみにしています。",,,"I am looking forward to meeting Yuka-sensei.",,,"to meet (humble)"
"110. 伺います","明日の午後2時に伺いますね。",,,"I will visit at 2pm tomorrow.",,,"to visit / to ask (humble)"
