"tags","kanji","readings","definition"
"kanken-9","引力","いん|りょく","gravity"
"kanken-9","つな引き","つな|ひ|き","tug of war"
"kanken-9","引き算","ひ|き|ざん","subtraction"
"kanken-9","遠くに引っこす","とお|く|に|ひ|っ|こ|す","move far away"
"kanken-9","羽毛","う|もう","feathers"
"kanken-9","羽子板","は|ご|いた","battledore"
"kanken-9","白い羽","しろ|い|はね","white feather"
"kanken-9","あひるが三羽いる","あひるが|さん|ば|いる","three ducks"
"kanken-9","雲海","うん|かい","sea of clouds"
"kanken-9","入道雲","にゅう|どう|ぐも","cumulonimbus cloud"
"kanken-9","今夜は空に雲がない","こん|や|は|そら|に|くも|が|ない","no clouds tonight"
"kanken-9","遊園地","ゆう|えん|ち","amusement park"
"kanken-9","花園","はな|ぞの","flower garden"
"kanken-9","どうぶつ園に行こう","どうぶつ|えん|に|い|こう","go to zoo"
"kanken-9","遠足","えん|そく","excursion"
"kanken-9","久遠","く|おん","eternity"
"kanken-9","遠い山","とお|い|やま","distant mountain"
"kanken-9","遠あさの海であそぶ","とお|あさ|の|うみ|で|あそぶ","play in shallow sea"
"kanken-9","幾何学","き|か|がく","geometry"
"kanken-9","何回","なん|かい","how many times"
"kanken-9","今日は何曜日？","きょう|は|なん|よう|び|？","what day is it"
"kanken-9","おやつは何かな？","おやつは|なに|かな|？","what is snack"
"kanken-9","科学","か|がく","science"
"kanken-9","生活科","せい|かつ|か","living environment studies"
"kanken-9","教科書を読む","きょう|か|しょ|を|よ|む","read textbook"
"kanken-9","初夏","しょ|か","early summer"
"kanken-9","夏至","げ|し","summer solstice"
"kanken-9","夏休み","なつ|やす|み","summer vacation"
"kanken-9","夏が近づく","なつ|が|ちか|づく","summer approaches"
"kanken-9","家族","か|ぞく","family"
"kanken-9","家来","け|らい","servant"
"kanken-9","となりの家","となり|の|いえ","neighbor's house"
"kanken-9","いっけん家にすむ","いっけん|や|に|す|む","live in detached house"
"kanken-9","歌手","か|しゅ","singer"
"kanken-9","校歌","こう|か","school song"
"kanken-9","歌声","うた|ごえ","singing voice"
"kanken-9","大きな声で歌う","おお|きな|こえ|で|うた|う","sing loudly"
"kanken-9","画用紙","が|よう|し","drawing paper"
"kanken-9","計画","けい|かく","plan"
"kanken-9","画家をめざす","が|か|を|めざす","aim to be painter"
"kanken-9","後回し","あと|まわ|し","postpone"
"kanken-9","歩き回る","ある|き|まわ|る","walk around"
"kanken-9","船にのるのは二回目だ","ふね|に|のる|の|は|に|かい|め|だ","second time on boat"
"kanken-9","会社","かい|しゃ","company"
"kanken-9","音楽会","おん|がく|かい","concert"
"kanken-9","会釈","え|しゃく","nod"
"kanken-9","友だちに会う","とも|だち|に|あ|う","meet friend"
"kanken-9","海岸","かい|がん","coast"
"kanken-9","青い海","あお|い|うみ","blue sea"
"kanken-9","海の水はからい","うみ|の|みず|は|からい","sea water is salty"
"kanken-9","絵画","かい|が","painting"
"kanken-9","絵本","え|ほん","picture book"
"kanken-9","絵日記","え|にっ|き","picture diary"
"kanken-9","絵はがきを買う","え|はがき|を|か|う","buy postcard"
"kanken-9","外国","がい|こく","foreign country"
"kanken-9","外科","げ|か","surgery"
