level,kanji,furigana,definition,kana
3,"祭り","まつ","festival","まつり"
3,"項目","こうもく","item; entry","こうもく"
3,"匹","ひき","counter for small animals","ひき"
3,"マイナス","","minus","まいなす"
3,"カレー","","curry","かれー"
3,"タオル","","towel","たおる"
3,"作曲","さっきょく","composition (music)","さっきょく"
3,"感動","かんどう","being deeply moved","かんどう"
3,"疑う","うたが","to doubt","うたがう"
3,"離婚","りこん","divorce","りこん"
3,"動作","どうさ","action; movement","どうさ"
3,"見解","けんかい","opinion; point of view","けんかい"
3,"主婦","しゅふ","housewife","しゅふ"
3,"混乱","こんらん","confusion","こんらん"
3,"瞬間","しゅんかん","moment","しゅんかん"
3,"整理","せいり","sorting; arrangement","せいり"
3,"体制","たいせい","system; structure","たいせい"
3,"回答","かいとう","reply; answer","かいとう"
3,"ゴルフ","","golf","ごるふ"
3,"歓迎","かんげい","welcome","かんげい"
3,"郊外","こうがい","suburbs","こうがい"
3,"いわゆる","","so-called","いわゆる"
3,"いらっしゃる","","to come/go/be (honorific)","いらっしゃる"
3,"当日","とうじつ","appointed day; very day","とうじつ"
3,"会計","かいけい","account; bill","かいけい"
3,"好き","す","liking; fond of","すき"
3,"観客","かんきゃく","audience","かんきゃく"
3,"テスト","","test","てすと"
3,"急行","きゅうこう","express train","きゅうこう"
3,"風邪","かぜ","cold (illness)","かぜ"
3,"援助","えんじょ","assistance; aid","えんじょ"
3,"採用","さいよう","adoption; employment","さいよう"
3,"最終","さいしゅう","last; final","さいしゅう"
3,"豊富","ほうふ","abundance","ほうふ"
3,"証明","しょうめい","proof","しょうめい"
3,"中心","ちゅうしん","center","ちゅうしん"
3,"汚れる","よご","to get dirty","よごれる"
3,"吸収","きゅうしゅう","absorption","きゅうしゅう"
3,"運用","うんよう","operation; application","うんよう"
3,"夜中","よなか","middle of the night","よなか"
3,"資格","しかく","qualification","しかく"
3,"緊張","きんちょう","tension; nervousness","きんちょう"
3,"正午","しょうご","noon","しょうご"
3,"症状","しょうじょう","symptoms","しょうじょう"
3,"結ぶ","むす","to tie; to connect","むすぶ"
3,"入場","にゅうじょう","entrance; admission","にゅうじょう"
3,"イタリア","","Italy","いたりあ"
3,"本名","ほんみょう","real name","ほんみょう"
3,"呼吸","こきゅう","breathing","こきゅう"
3,"異常","いじょう","strangeness; abnormality","いじょう"
3,"解放","かいほう","release; liberation","かいほう"
3,"発達","はったつ","development","はったつ"
3,"直前","ちょくぜん","just before","ちょくぜん"
3,"爆発","ばくはつ","explosion","ばくはつ"
3,"職員","しょくいん","staff member","しょくいん"
3,"先週","せんしゅう","last week","せんしゅう"
3,"活躍","かつやく","activity; great effort","かつやく"
3,"方針","ほうしん","policy; course","ほうしん"
3,"低下","ていか","decline","ていか"
3,"発明","はつめい","invention","はつめい"
3,"才能","さいのう","talent","さいのう"
3,"当たり","あ","hit; success; per...","あたり"
3,"想像","そうぞう","imagination","そうぞう"
3,"直後","ちょくご","immediately after","ちょくご"
3,"支払う","しはら","to pay","しはらう"
3,"誤解","ごかい","misunderstanding","ごかい"
3,"調子","ちょうし","condition; tone","ちょうし"
3,"面積","めんせき","area (measurement)","めんせき"
3,"施設","しせつ","institution; facility","しせつ"
3,"装置","そうち","equipment; device","そうち"
3,"解釈","かいしゃく","interpretation","かいしゃく"
3,"形式","けいしき","form; formality","けいしき"
3,"似る","に","to resemble","にる"
3,"偶然","ぐうぜん","coincidence","ぐうぜん"
3,"中年","ちゅうねん","middle-aged","ちゅうねん"
3,"石油","せきゆ","oil; petroleum","せきゆ"
3,"調整","ちょうせい","adjustment","ちょうせい"
3,"対策","たいさく","measure; countermeasure","たいさく"
3,"遊ぶ","あそ","to play","あそぶ"
3,"加える","くわ","to add","くわえる"
3,"修正","しゅうせい","amendment; modification","しゅうせい"
