level,kanji,furigana,definition,kana
1,時間,じかん,time,じかん
1,国,くに,country,くに
1,出す,だ,to take out / to submit,だす
1,外国,がいこく,foreign country,がいこく
1,大人,おとな,adult,おとな
1,見える,み,to be visible,みえる
1,出る,で,to go out / to exit,でる
1,から,,from / because,から
1,小学校,しょうがっこう,elementary school,しょうがっこう
1,後ろ,うし,behind / back,うしろ
1,天気,てんき,weather,てんき
1,白い,しろ,white,しろい
1,みんな,,everyone,みんな
1,言う,い,to say,いう
1,川,かわ,river,かわ
1,ちょっと,,a little,ちょっと
1,男の子,おとここ,boy,おとこのこ
1,自分,じぶん,myself,じぶん
1,会社,かいしゃ,company,かいしゃ
1,仕事,しごと,work / job,しごと
1,作る,つく,to make,つくる
1,少し,すこ,a little / few,すこし
1,口,くち,mouth,くち
1,いつ,,when,いつ
1,見つかる,み,to be found,みつかる
1,歌,うた,song,うた
1,広い,ひろ,wide / spacious,ひろい
1,学校,がっこう,school,がっこう
1,大学,だいがく,university,だいがく
1,思う,おも,to think,おもう
1,あまり,,not very,あまり
1,名前,なまえ,name,なまえ
1,社会,しゃかい,society,しゃかい
1,電話,でんわ,telephone,でんわ
1,お母さん,かあ,mother (polite),おかあさん
1,走る,はし,to run,はしる
1,言葉,ことば,word / language,ことば
1,この,,this,この
1,午後,ごご,afternoon / PM,ごご
1,音,おと,sound,おと
1,元気,げんき,healthy / energetic,げんき
1,売る,う,to sell,うる
1,見せる,み,to show,みせる
1,電車,でんしゃ,train,でんしゃ
1,毎日,まいにち,every day,まいにち
1,研究,けんきゅう,research,けんきゅう
1,呼ぶ,よ,to call,よぶ
1,左,ひだり,left,ひだり
1,地図,ちず,map,ちず
1,大きい,おお,big,おおきい
1,お父さん,とう,father (polite),おとうさん
1,送る,おく,to send,おくる
1,少ない,すく,few / scarce,すくない
1,木,き,tree,き
1,どこ,,where,どこ
1,考える,かんが,to think / to consider,かんがえる
1,社長,しゃちょう,company president,しゃちょう
1,の,,of (possessive particle),の
1,外,そと,outside,そと
1,半分,はんぶん,half,はんぶん
1,に,,to / at (particle),に
1,は,,topic marker (particle),は
1,山,やま,mountain,やま
1,工場,こうじょう,factory,こうじょう
1,集める,あつ,to collect,あつめる
1,近い,ちか,near,ちかい
1,場所,ばしょ,place,ばしょ
1,気,き,spirit / mood,き
1,女の子,おんなこ,girl,おんなのこ
1,全部,ぜんぶ,all,ぜんぶ
1,両親,りょうしん,parents,りょうしん
1,雪,ゆき,snow,ゆき
1,予定,よてい,plan / schedule,よてい
1,選ぶ,えら,to choose,えらぶ
1,文化,ぶんか,culture,ぶんか
1,外国人,がいこくじん,foreigner,がいこくじん
1,最近,さいきん,recently,さいきん
1,自由,じゆう,freedom,じゆう
1,おもちゃ,,toy,おもちゃ
1,警察,けいさつ,police,けいさつ
1,運ぶ,はこ,to carry,はこぶ
1,安全,あんぜん,safety,あんぜん
1,番組,ばんぐみ,program (TV/radio),ばんぐみ
1,例えば,たと,for example,たとえば
1,何,なに,what,なに
1,また,,again / also,また
1,聞こえる,き,to be heard,きこえる
1,母,はは,mother (humble),はは
1,今日,きょう,today,きょう
1,父,ちち,father (humble),ちち
1,台風,たいふう,typhoon,たいふう
1,きれい,,beautiful / clean,きれい
1,小説,しょうせつ,novel,しょうせつ
1,これ,,this,これ
1,空港,くうこう,airport,くうこう
1,庭,にわ,garden,にわ
1,相手,あいて,partner / opponent,あいて
1,出身,しゅっしん,place of origin,しゅっしん
1,押す,お,to push,おす
1,高い,たか,high / expensive,たかい
1,本,ほん,book,ほん
1,アメリカ,,America,あめりか
1,午前,ごぜん,morning / AM,ごぜん
1,時々,ときどき,sometimes,ときどき
1,同じ,おな,same,おなじ
1,ここ,,here,ここ
1,電気,でんき,electricity / light,でんき
1,使う,つか,to use,つかう
1,経験,けいけん,experience,けいけん
1,右,みぎ,right,みぎ
1,まだ,,yet / still,まだ
1,聞く,き,to hear / to ask,きく
1,話,はなし,story / talk,はなし
1,作家,さっか,author,さっか
1,地震,じしん,earthquake,じしん
1,重い,おも,heavy,おもい
1,病院,びょういん,hospital,びょういん
1,昔,むかし,old times,むかし
1,食べる,た,to eat,たべる
1,南,みなみ,south,みなみ
1,高校,こうこう,high school,こうこう
1,頼む,たの,to request,たのむ
1,小さい,ちい,small,ちいさい
1,音楽,おんがく,music,おんがく
1,新聞,しんぶん,newspaper,しんぶん
1,こちら,,this way,こちら
1,北,きた,north,きた
1,見る,み,to see,みる
1,種類,しゅるい,type / kind,しゅるい
1,英語,えいご,English language,えいご
1,約束,やくそく,promise,やくそく
1,雨,あめ,rain,あめ
1,どちら,,which (of two),どちら
1,思い出,おもで,memory,おもいで
1,落ちる,お,to fall,おちる
1,発表,はっぴょう,announcement,はっぴょう
1,夕方,ゆうがた,evening,ゆうがた
1,読む,よ,to read,よむ
1,絵,え,picture,え
1,歌手,かしゅ,singer,かしゅ
1,なぜ,,why,なぜ
1,休み,やす,rest / holiday,やすみ
1,でも,,but,でも
1,日記,にっき,diary,にっき
1,とても,,very,とても
1,いくら,,how much,いくら
1,違い,ちが,difference,ちがい
1,旅行,りょこう,travel,りょこう
1,お金,かね,money,おかね
1,長い,なが,long,ながい
1,受ける,う,to receive / to take (a test),うける
1,自転車,じてんしゃ,bicycle,じてんしゃ
1,新しい,あたら,new,あたらしい
1,探す,さが,to look for,さがす
1,病気,びょうき,illness,びょうき
1,冬,ふゆ,winter,ふゆ
1,入れる,い,to put in,いれる
1,趣味,しゅみ,hobby,しゅみ
1,世界,せかい,world,せかい
1,犬,いぬ,dog,いぬ
1,違う,ちが,to be different,ちがう
1,準備,じゅんび,preparation,じゅんび
1,政府,せいふ,government,せいふ
1,ページ,,page,ぺーじ
1,どれ,,which (of three+),どれ
