level,kanji,furigana,definition,kana
4,"できる",,"to be able to; can","できる"
4,"ペン",,"pen","ペン"
4,"危ない","あぶ","dangerous","あぶない"
4,"テーブル",,"table","テーブル"
4,"タクシー",,"taxi","タクシー"
4,"コピー",,"copy","コピー"
4,"レコード",,"record","レコード"
4,"親しい","した","intimate; close","したしい"
4,"治る","なお","to be cured; to heal","なおる"
4,"コート",,"coat; court","コート"
4,"グループ",,"group","グループ"
4,"人民","じんみん","people; public","じんみん"
4,"パート",,"part-time","パート"
4,"ホーム",,"platform; home","ホーム"
4,"人事","じんじ","personnel affairs","じんじ"
4,"改札","かいさつ","ticket gate","かいさつ"
4,"うち",,"house; home; within","うち"
4,"筋","すじ","muscle; tendon; logic","すじ"
4,"牧場","ぼくじょう","farm; ranch","ぼくじょう"
4,"差す","さ","to stretch out hands; to raise an umbrella","さす"
4,"あふれる",,"to overflow","あふれる"
4,"緊急","きんきゅう","urgent; emergency","きんきゅう"
4,"重点","じゅうてん","important point; emphasis","じゅうてん"
4,"交代","こうたい","alternation; change","こうたい"
4,"ベル",,"bell","ベル"
4,"漁業","ぎょぎょう","fishing industry","ぎょぎょう"
4,"門","かど","gate","かど"
4,"データ",,"data","データ"
4,"裏切る","うらぎ","to betray","うらぎる"
4,"在学","ざいがく","enrolled in school","ざいがく"
4,"学力","がくりょく","academic ability","がくりょく"
4,"ようこそ",,"welcome","ようこそ"
4,"報酬","ほうしゅう","remuneration; reward","ほうしゅう"
4,"カレンダー",,"calendar","カレンダー"
4,"記号","きごう","symbol; code","きごう"
4,"だけど",,"however","だけど"
4,"昨年","さくねん","last year","さくねん"
4,"白書","はくしょ","white paper","はくしょ"
4,"デザイン",,"design","デザイン"
4,"倒産","とうさん","bankruptcy","とうさん"
4,"構想","こうそう","plan; plot; idea","こうそう"
4,"尊重","そんちょう","respect; esteem","そんちょう"
4,"正義","せいぎ","justice","せいぎ"
4,"守備","しゅび","defense","しゅび"
4,"細胞","さいぼう","cell","さいぼう"
4,"全て","すべ","all; whole","すべて"
4,"好み","この","liking; taste","このみ"
4,"農村","のうそん","agricultural community; farm village","のうそん"
4,"三角","さんかく","triangle","さんかく"
4,"解除","かいじょ","cancellation; release","かいじょ"
4,"大臣","だいじん","cabinet minister","だいじん"
4,"内科","ないか","internal medicine","ないか"
4,"講堂","こうどう","auditorium","こうどう"
4,"用事","ようじ","tasks; errands","ようじ"
4,"大量","たいりょう","large quantity","たいりょう"
4,"宿泊","しゅくはく","lodging","しゅくはく"
4,"大木","たいぼく","large tree","たいぼく"
4,"名所","めいしょ","famous place","めいしょ"
4,"メモ",,"memo","メモ"
4,"挨拶","あいさつ","greeting","あいさつ"
4,"俳句","はいく","haiku poetry","はいく"
4,"敷地","しきち","site; plot; grounds","しきち"
4,"分布","ぶんぷ","distribution","ぶんぷ"
4,"メーカー",,"maker; manufacturer","メーカー"
4,"まるで",,"just like; as if","まるで"
4,"変動","へんどう","fluctuation; change","へんどう"
4,"両側","りょうがわ","both sides","りょうがわ"
4,"骨折","こっせつ","bone fracture","こっせつ"
4,"会合","かいごう","meeting; assembly","かいごう"
4,"産地","さんち","producing area","さんち"
4,"いちいち",,"one by one","いちいち"
4,"詰まる","つ","to be packed; to be clogged","つまる"
4,"ミス",,"mistake","ミス"
4,"拡張","かくちょう","expansion","かくちょう"
4,"入国","にゅうこく","entry into a country","にゅうこく"
4,"も",,"too; also","も"
4,"文献","ぶんけん","literature; books","ぶんけん"
4,"名作","めいさく","masterpiece","めいさく"
4,"食物","しょくもつ","food","しょくもつ"
4,"会館","かいかん","meeting hall","かいかん"
4,"十一","じゅういち","eleven","じゅういち"
4,"極端","きょくたん","extreme","きょくたん"
4,"県庁","けんちょう","prefectural office","けんちょう"
4,"バランス",,"balance","バランス"
4,"相続","そうぞく","succession; inheritance","そうぞく"
4,"進化","しんか","evolution","しんか"
4,"予測","よそく","prediction","よそく"
4,"接触","せっしょく","touch; contact","せっしょく"
4,"一員","いちいん","member","いちいん"
4,"お宅","たく","your house; you","おたく"
4,"感染","かんせん","infection","かんせん"
4,"味わう","あじ","to taste; to savor","あじわう"
4,"特有","とくゆう","characteristic; peculiar","とくゆう"
4,"すっかり",,"completely","すっかり"
4,"校舎","こうしゃ","school building","こうしゃ"
4,"決心","けっしん","determination; resolution","けっしん"
4,"パターン",,"pattern","パターン"
4,"支給","しきゅう","payment; allowance","しきゅう"
4,"見物","けんぶつ","sightseeing","けんぶつ"
4,"公正","こうせい","justice; fairness","こうせい"
4,"特許","とっきょ","patent","とっきょ"
4,"調理","ちょうり","cooking","ちょうり"
4,"外見","がいけん","outward appearance","がいけん"
4,"法人","ほうじん","corporate body","ほうじん"
4,"足す","た","to add","たす"
4,"不良","ふりょう","bad; defective; delinquent","ふりょう"
4,"雇う","やと","to employ; to hire","やとう"
4,"次回","じかい","next time","じかい"
4,"生前","せいぜん","while alive","せいぜん"
4,"友好","ゆうこう","friendship","ゆうこう"
4,"比例","ひれい","proportion","ひれい"
4,"体調","たいちょう","physical condition","たいちょう"
4,"や",,"and (etc.)","や"
4,"類似","るいじ","resemblance; similarity","るいじ"
4,"後方","こうほう","behind; rear","こうほう"
4,"今に","いま","before long; even now","いまに"
4,"黙る","だま","to be silent","だまる"
4,"紫","むらさき","purple","むらさき"
4,"灰色","はいいろ","grey","はいいろ"
4,"人名","じんめい","person's name","じんめい"
4,"枯れる","か","to wither","かれる"
4,"列島","れっとう","archipelago","れっとう"
4,"高層","こうそう","high-rise","こうそう"
4,"強める","つよ","to strengthen","つよめる"
4,"大金","たいきん","large amount of money","たいきん"
4,"教養","きょうよう","culture; education; refinement","きょうよう"
4,"到達","とうたつ","reaching; arrival","とうたつ"
4,"扉","とびら","door","とびら"
4,"施行","しこう","enforcement; execution","しこう"
4,"傘","かさ","umbrella","かさ"
4,"述べる","の","to state; to express","のべる"
4,"ママ",,"mama","ママ"
4,"少数","しょうすう","minority; few","しょうすう"
4,"下旬","げじゅん","last third of a month","げじゅん"
4,"翌日","よくじつ","next day","よくじつ"
4,"ステレオ",,"stereo","ステレオ"
4,"店","てん","shop; store","てん"
4,"保つ","たも","to keep; to maintain","たもつ"
4,"パーセント",,"percent","パーセント"
4,"芸能","げいのう","public entertainment","げいのう"
4,"見送り","みおく","seeing someone off","みおくり"
4,"そこ",,"there","そこ"
4,"要る","い","to need","いる"
4,"疲れ","つか","tiredness; fatigue","つかれ"
4,"抗議","こうぎ","protest","こうぎ"
4,"クラブ",,"club","クラブ"
4,"内閣","ないかく","cabinet (government)","ないかく"
4,"主任","しゅにん","person in charge","しゅにん"
4,"体操","たいそう","gymnastics; exercise","たいそう"
4,"著書","ちょしょ","literary work; book","ちょしょ"
4,"果たす","は","to accomplish; to fulfill","はたす"
4,"級","きゅう","class; grade; rank","きゅう"
4,"話し合い","はなあ","discussion","はなしあい"
4,"水平","すいへい","horizontal; level","すいへい"
4,"朝食","ちょうしょく","breakfast","ちょうしょく"
4,"液体","えきたい","liquid","えきたい"
4,"外来","がいらい","imported; outpatient","がいらい"
4,"支える","ささ","to support","ささえる"
4,"対処","たいしょ","dealing with","たいしょ"
4,"捕まえる","つか","to catch; to arrest","つかまえる"
4,"立体","りったい","solid body; three-dimensional","りったい"
4,"不便","ふべん","inconvenience","ふべん"
4,"通路","つうろ","passage; pathway","つうろ"
4,"下水","げすい","sewage","げすい"
4,"階級","かいきゅう","class; rank","かいきゅう"
4,"封筒","ふうとう","envelope","ふうとう"
4,"国有","こくゆう","national ownership","こくゆう"
4,"苦情","くじょう","complaint","くじょう"
4,"洪水","こうずい","flood","こうずい"
4,"衣装","いしょう","clothing; costume","いしょう"
4,"役に立つ","やくた","to be useful","やくにたつ"
4,"会談","かいだん","conversation; conference","かいだん"
4,"薬品","やくひん","medicine; chemicals","やくひん"
4,"彫刻","ちょうこく","carving; sculpture","ちょうこく"
4,"もうすぐ",,"very soon","もうすぐ"
4,"避難","ひなん","evacuation","ひなん"
4,"配慮","はいりょ","consideration","はいりょ"
4,"微妙","びみょう","delicate; subtle","びみょう"
4,"天然水","てんねんすい","natural water","てんねんすい"
4,"三年生","さんねんせい","third-year student","さんねんせい"
4,"裁判官","さいばんかん","judge","さいばんかん"
4,"娘さん","むすめ","daughter (polite)","むすめさん"
4,"明らかにする","あき","to make clear; to clarify","あきらかにする"
4,"明らかになる","あき","to become clear","あきらかになる"
4,"しかない",,"have no choice but","しかない"
4,"このぐらい",,"about this much","このぐらい"
4,"プロジェクト",,"project","プロジェクト"
4,"発揮","はっき","exhibition; demonstration","はっき"
4,"中旬","ちゅうじゅん","middle third of a month","ちゅうじゅん"
4,"何度","なんど","how many times; how many degrees","なんど"
4,"早朝","そうちょう","early morning","そうちょう"
4,"掲げる","かか","to publish; to hang out","かかげる"
4,"強引","ごういん","overbearing; coercive","ごういん"
4,"同","どう","same","どう"
4,"幸運","こううん","good luck","こううん"
4,"混雑","こんざつ","congestion","こんざつ"
4,"監視","かんし","surveillance","かんし"
4,"騒音","そうおん","noise","そうおん"
4,"ことがある",,"there are times when","ことがある"
4,"女房","にょうぼう","wife","にょうぼう"
4,"深める","ふか","to deepen","ふかめる"
4,"曲","きょく","piece of music","きょく"
4,"解答","かいとう","answer; solution","かいとう"
4,"工夫","くふう","device; scheme; devising","くふう"
4,"十四","じゅうよん","fourteen","じゅうよん"
4,"群れ","む","group; flock; herd","むれ"
4,"次々","つぎつぎ","one by one; one after another","つぎつぎ"
4,"相違","そうい","difference","そうい"
4,"直線","ちょくせん","straight line","ちょくせん"
4,"実習","じっしゅう","practice; training","じっしゅう"
4,"握手","あくしゅ","handshake","あくしゅ"
4,"血管","けっかん","blood vessel","けっかん"
4,"無人","むじん","unmanned","むじん"
4,"神話","しんわ","myth","しんわ"
4,"生える","は","to grow","はえる"
4,"マッチ",,"match","マッチ"
4,"近畿","きんき","Kinki region","きんき"
4,"無線","むせん","wireless; radio","むせん"
4,"ポスター",,"poster","ポスター"
4,"車庫","しゃこ","garage","しゃこ"
4,"交付","こうふ","delivery; issuance","こうふ"
4,"海上","かいじょう","on the sea; maritime","かいじょう"
4,"参議院","さんぎいん","House of Councillors","さんぎいん"
4,"審判","しんぱん","referee; judgement","しんぱん"
4,"全く","まった","really; truly; entirely","まったく"
4,"豚肉","ぶたにく","pork","ぶたにく"
4,"南極","なんきょく","South Pole","なんきょく"
4,"水田","すいでん","paddy field","すいでん"
4,"武士","ぶし","warrior; samurai","ぶし"
4,"公害","こうがい","pollution","こうがい"
4,"食卓","しょくたく","dining table","しょくたく"
4,"プラン",,"plan","プラン"
4,"海峡","かいきょう","strait; channel","かいきょう"
4,"細かい","こま","small; fine; detailed","こまかい"
4,"おしゃれ",,"smartly dressed; stylish","おしゃれ"
4,"逃げる","に","to escape; to run away","にげる"
4,"小学","しょうがく","primary school","しょうがく"
4,"地形","ちけい","terrain","ちけい"
4,"浅い","あさ","shallow","あさい"
4,"未定","みてい","undecided","みてい"
4,"底","そこ","bottom","そこ"
4,"限度","げんど","limit","げんど"
4,"衝撃","しょうげき","shock; impact","しょうげき"
4,"印刷物","いんさつぶつ","printed matter","いんさつぶつ"
4,"古典","こてん","classic (literature)","こてん"
4,"祈り","いの","prayer","いのり"
4,"技","わざ","technique; art","わざ"
4,"衛生","えいせい","hygiene; sanitation","えいせい"
4,"総会","そうかい","general meeting","そうかい"
4,"不況","ふきょう","recession; depression","ふきょう"
4,"ば",,"if; then","ば"
4,"ボタン",,"button","ボタン"
4,"そちら",,"over there; the other","そちら"
4,"軸","じく","axis; shaft","じく"
4,"繊維","せんい","fiber; textile","せんい"
4,"知能","ちのう","intelligence","ちのう"
4,"暮れ","く","year end; sunset","くれ"
4,"最悪","さいあく","worst","さいあく"
4,"手元","てもと","at hand","てもと"
4,"上空","じょうくう","sky; upper air","じょうくう"
4,"身近","みぢか","familiar; near","みぢか"
4,"同士","どうし","fellow; companion","どうし"
4,"外側","そとがわ","exterior; outside","そとがわ"
4,"本店","ほんてん","head office","ほんてん"
4,"お店","みせ","store; shop","おみせ"
4,"エアコン",,"air conditioner","エアコン"
4,"兵器","へいき","arms; weapons","へいき"
4,"決断","けつだん","decision","けつだん"
4,"方式","ほうしき","form; method","ほうしき"
4,"青少年","せいしょうねん","youth","せいしょうねん"
4,"構う","かま","to mind; to care about","かまう"
4,"ううん",,"no (casual)","ううん"
4,"順位","じゅんい","order; rank","じゅんい"
4,"破産","はさん","bankruptcy","はさん"
4,"これこそ",,"this (is surely)","これこそ"
4,"結合","けつごう","combination; union","けつごう"
4,"地味","じみ","plain; simple","じみ"
4,"訪れる","おとず","to visit","おとずれる"
4,"伸ばす","の","to lengthen; to stretch","のばす"
4,"ことにする",,"to decide to","ことにする"
4,"領土","りょうど","dominion; territory","りょうど"
4,"主演","しゅえん","starring","しゅえん"
4,"点数","てんすう","marks; points","てんすう"
4,"年末","ねんまつ","end of the year","ねんまつ"
4,"畳","たたみ","tatami mat","たたみ"
4,"まま",,"as is; state; condition","まま"
4,"手足","てあし","hands and feet","てあし"
4,"見本","みほん","sample","みほん"
4,"通貨","つうか","currency","つうか"
4,"吹く","ふ","to blow","ふく"
4,"秩序","ちつじょ","order; discipline","ちつじょ"
