level,kanji,furigana,definition,kana
5,"中","ちゅう","middle/inside","ちゅう"
5,"それ","","that","それ"
5,"キロメートル","","kilometer","キロメートル"
5,"な","","na (particle)","な"
5,"テープ","","tape","テープ"
5,"スーツ","","suit","スーツ"
5,"テーマ","","theme","テーマ"
5,"コース","","course","コース"
5,"バター","","butter","バター"
5,"やつ","","guy/thing","やつ"
5,"通帳","つうちょう","passbook","つうちょう"
5,"はるか","","far/distant","はるか"
5,"追悼","ついとう","mourning","ついとう"
5,"シリーズ","","series","シリーズ"
5,"カラー","","color","カラー"
5,"歩","ほ","step/walk","ほ"
5,"ステージ","","stage","ステージ"
5,"トレーニング","","training","トレーニング"
5,"スター","","star","スター"
5,"挟む","はさ","to sandwich/insert","はさむ"
5,"オートバイ","","motorcycle","オートバイ"
5,"チーズ","","cheese","チーズ"
5,"シーズン","","season","シーズン"
5,"コード","","cord/code","コード"
5,"スケート","","skate","スケート"
5,"ルール","","rule","ルール"
5,"スピード","","speed","スピード"
5,"ほうがいい","","had better/should","ほうがいい"
5,"メートル","","meter","メートル"
5,"帝","みかど","emperor","みかど"
5,"切れ","き","piece/slice","きれ"
5,"ボート","","boat","ボート"
5,"危うい","あや","dangerous/risky","あやうい"
5,"マーク","","mark","マーク"
5,"コーチ","","coach","コーチ"
5,"逆さ","さか","upside down","さかさ"
5,"スケジュール","","schedule","スケジュール"
5,"ソース","","sauce/source","ソース"
5,"ブレーキ","","brake","ブレーキ"
5,"マーケット","","market","マーケット"
5,"肖像","しょうぞう","portrait","しょうぞう"
5,"苗","なえ","seedling","なえ"
5,"ゴール","","goal","ゴール"
5,"サッカー","","soccer","サッカー"
5,"任期","にんき","term of office","にんき"
5,"おしゃべり","","chatter/talkative","おしゃべり"
5,"代償","だいしょう","compensation/price","だいしょう"
5,"受かる","う","to pass (exam)","うかる"
5,"コンクリート","","concrete","コンクリート"
5,"ブーム","","boom","ブーム"
5,"おとなしい","","quiet/obedient","おとなしい"
5,"ボーイ","","boy","ボーイ"
5,"狩り","か","hunting","かり"
5,"強いる","し","to force/compel","しいる"
5,"銅","どう","copper","どう"
5,"売上高","うりあげだか","sales/revenue","うりあげだか"
5,"ございます","","to be (polite)","ございます"
5,"尻","しり","buttocks","しり"
5,"有限","ゆうげん","finite/limited","ゆうげん"
5,"騎士","きし","knight","きし"
5,"ヒゲ","","beard/mustache","ヒゲ"
5,"再来年","さらいねん","year after next","さらいねん"
5,"専ら","もっぱ","entirely/exclusively","もっぱら"
5,"覆す","くつがえ","to overturn","くつがえす"
5,"つかむ","","to grab","つかむ"
5,"ロープ","","rope","ロープ"
5,"ミュージック","","music","ミュージック"
