level,kanji,furigana,definition,kana
1.1,花だん,かだん,flower bed,かだん
1.1,花たば,はなたば,bouquet,はなたば
1.1,花びら,はなびら,flower petal,はなびら
1.1,木かげ,こかげ,shade of a tree,こかげ
1.1,にわ木,にわき,garden tree,にわき
1.1,木目,もくめ,wood grain,もくめ
1.1,九月,くがつ,September,くがつ
1.1,九こ,きゅうこ,nine pieces,きゅうこ
1.1,九つ,ここのつ,nine things,ここのつ
1.1,一年生,いちねんせい,first grade student,いちねんせい
1.1,一ぴき,いっぴき,one animal (small),いっぴき
1.1,一つ,ひとつ,one thing,ひとつ
1.1,ざっ草,ざっそう,weeds,ざっそう
1.1,草もち,くさもち,rice cake with mugwort,くさもち
1.1,草はら,くさはら,grassy field,くさはら
1.1,ちょ金,ちょきん,savings,ちょきん
1.1,金いろ,きんいろ,gold color,きんいろ
1.1,お金,おかね,money,おかね
1.1,十日,とおか,10th day,とおか
1.1,十月,じゅうがつ,October,じゅうがつ
1.1,十年,じゅうねん,ten years,じゅうねん
1.1,二日,ふつか,2nd day,ふつか
1.1,二こ,にこ,two pieces,にこ
1.1,二つ,ふたつ,two things,ふたつ
1.1,ほう石,ほうせき,gem / jewel,ほうせき
1.1,じ石,じしゃく,magnet,じしゃく
1.1,小石,こいし,pebble,こいし
1.1,赤土,あかつち,red clay / red soil,あかつち
1.1,土足,どそく,with shoes on / muddy feet,どそく
1.1,百日,ひゃくにち,100 days,ひゃくにち
1.1,百円,ひゃくえん,100 yen,ひゃくえん
1.1,百年,ひゃくねん,100 years,ひゃくねん
1.1,三本,さんぼん,three cylindrical objects,さんぼん
1.1,三こ,さんこ,three pieces,さんこ
1.1,三つ,みっつ,three things,みっつ
1.1,ほら貝,ほらがい,conch shell,ほらがい
1.1,まき貝,まきがい,spiral shell,まきがい
1.1,貝がら,かいがら,shell,かいがら
1.1,ふじ山,ふじさん,Mt. Fuji,ふじさん
1.1,山いも,やまいも,yam,やまいも
1.1,山みち,やまみち,mountain path,やまみち
1.1,千人,せんにん,1000 people,せんにん
1.1,千円,せんえん,1000 yen,せんえん
1.1,千年,せんねん,1000 years,せんねん
1.1,四月,しがつ,April,しがつ
1.1,四こ,よんこ,four pieces,よんこ
1.1,四つ,よっつ,four things,よっつ
1.1,虫かご,むしかご,insect cage,むしかご
1.1,こん虫,こんちゅう,insect,こんちゅう
1.1,すず虫,すずむし,bell cricket,すずむし
1.1,川べり,かわべり,riverbank,かわべり
1.1,川しも,かわしも,downstream,かわしも
1.1,川かみ,かわかみ,upstream,かわかみ
1.1,日じ,にちじ,date and time,にちじ
1.1,一日,いちにち,one day,いちにち
1.1,三日,みっか,3rd day,みっか
1.1,五わ,ごわ,five birds,ごわ
1.1,五こ,ごこ,five pieces,ごこ
1.1,五つ,いつつ,five things,いつつ
1.1,犬ぞり,いぬぞり,dog sled,いぬぞり
1.1,白い犬,しろいいぬ,white dog,しろいいぬ
1.1,名犬,めいけん,faithful dog / famous dog,めいけん
1.1,山林,さんりん,mountain forest,さんりん
1.1,まつ林,まつばやし,pine forest,まつばやし
1.1,竹林,ちくりん,bamboo grove,ちくりん
1.1,まん月,まんげつ,full moon,まんげつ
1.1,二月,にがつ,February,にがつ
1.1,月見,つきみ,moon viewing,つきみ
1.1,六本,ろっぽん,six cylindrical objects,ろっぽん
1.1,六こ,ろっこ,six pieces,ろっこ
1.1,六つ,むっつ,six things,むっつ
1.1,田うえ,たうえ,rice planting,たうえ
1.1,水田,すいでん,paddy field,すいでん
1.1,田んぼ,たんぼ,rice field,たんぼ
1.1,青森,あおもり,Aomori (place),あおもり
1.1,森林,しんりん,forest,しんりん
1.1,森の中,もりのなか,in the forest,もりのなか
1.1,火のこ,ひのこ,sparks / fire sparks,ひのこ
1.1,火山,かざん,volcano,かざん
1.1,火じ,かじ,fire / conflagration,かじ
1.1,七いろ,なないろ,seven colors,なないろ
1.1,七月,しちがつ,July,しちがつ
1.1,七つ,ななつ,seven things,ななつ
1.1,年より,としより,elderly person,としより
1.1,年上,としうえ,older / senior,としうえ
1.1,竹わ,ちくわ,chikuwa (fish cake),ちくわ
1.1,竹やぶ,たけやぶ,bamboo thicket,たけやぶ
1.1,竹うま,たけうま,stilts,たけうま
1.1,水どう,すいどう,water supply,すいどう
1.1,水草,みずくさ,water plant,みずくさ
1.1,水玉,みずたま,polka dot / water drop,みずたま
1.1,八日,ようか,8th day,ようか
1.1,八月,はちがつ,August,はちがつ
1.1,八つ,やっつ,eight things,やっつ
1.1,き立,きりつ,stand up,きりつ
1.1,立てる,たてる,to stand something up,たてる
1.1,立つ,たつ,to stand,たつ
1.1,かい力,かいりき,superhuman strength,かいりき
1.1,学力,がくりょく,academic ability,がくりょく
1.1,力もち,ちからもち,strong person,ちからもち
1.1,大きい,おおきい,big,おおきい
1.1,大へん,たいへん,difficult / very,たいへん
1.1,大すき,だいすき,love / like a lot,だいすき
1.1,空ばこ,からばこ,empty box,からばこ
1.1,空いろ,そらいろ,sky blue,そらいろ
1.1,空気,くうき,air / atmosphere,くうき
1.1,休じつ,きゅうじつ,holiday / day off,きゅうじつ
1.1,休める,やすめる,to rest (something),やすめる
1.1,休む,やすむ,to rest,やすむ
1.1,人口,じんこう,population,じんこう
1.1,口べに,くちべに,lipstick,くちべに
1.1,口ぶえ,くちぶえ,whistle,くちぶえ
1.1,中にわ,なかにわ,courtyard,なかにわ
1.1,中学校,ちゅうがっこう,middle school,ちゅうがっこう
1.1,一日中,いちにちじゅう,all day long,いちにちじゅう
1.1,天ごく,てんごく,heaven,てんごく
1.1,天の川,あまのがわ,Milky Way,あまのがわ
1.1,天気,てんき,weather,てんき
1.1,出ぱつ,しゅっぱつ,departure,しゅっぱつ
1.1,出る,でる,to exit / to leave,でる
1.1,出す,だす,to take out / to submit,だす
1.1,目てき,もくてき,purpose / goal,もくてき
1.1,目つき,めつき,look (in eyes),めつき
1.1,目と口,めとくち,eyes and mouth,めとくち
1.1,小さい,ちいさい,small,ちいさい
1.1,小学校,しょうがっこう,elementary school,しょうがっこう
1.1,げん気,げんき,healthy / energetic,げんき
1.1,気もち,きもち,feeling,きもち
1.1,入り口,いりぐち,entrance,いりぐち
1.1,入学,にゅうがく,school admission,にゅうがく
1.1,入る,はいる,to enter,はいる
1.1,はく手,はくしゅ,applause,はくしゅ
1.1,手くび,てくび,wrist,てくび
1.1,右手,みぎて,right hand,みぎて
1.1,上ぎ,うわぎ,jacket / outerwear,うわぎ
1.1,上げる,あげる,to raise,あげる
1.1,木の上,きのうえ,on the tree,きのうえ
1.1,雨ぐも,あまぐも,rain cloud,あまぐも
1.1,雨天,うてん,rainy weather,うてん
1.1,雨ふり,あめふり,rainfall / rainy,あめふり
1.1,女と男,おんなとおとこ,woman and man,おんなとおとこ
1.1,女の人,おんなのひと,woman,おんなのひと
1.1,女子,じょし,girl / woman,じょし
1.1,一足,いっそく,one pair (of shoes),いっそく
1.1,足くび,あしくび,ankle,あしくび
1.1,足あと,あしあと,footprint,あしあと
1.1,下校,げこう,coming home from school,げこう
1.1,下げる,さげる,to lower,さげる
1.1,木の下,きのした,under the tree,きのした
1.1,夕ぐれ,ゆうぐれ,dusk / twilight,ゆうぐれ
1.1,夕がた,ゆうがた,evening,ゆうがた
1.1,夕日,ゆうひ,setting sun,ゆうひ
1.1,男子,だんし,boy / male,だんし
1.1,男の人,おとこのひと,man,おとこのひと
1.1,男の子,おとこのこ,boy,おとこのこ
1.1,目と耳,めとみみ,eyes and ears,めとみみ
1.1,耳うち,みみうち,whispering in ear,みみうち
1.1,耳たぶ,みみたぶ,earlobe,みみたぶ
1.1,左足,ひだりあし,left foot,ひだりあし
1.1,左がわ,ひだりがわ,left side,ひだりがわ
1.1,左右,さゆう,left and right,さゆう
1.1,空白,くうはく,blank space,くうはく
1.1,白い花,しろいはな,white flower,しろいはな
1.1,白ぐみ,しろぐみ,white team,しろぐみ
1.1,子犬,こいぬ,puppy,こいぬ
1.1,子ども,こども,child,こども
1.1,音いろ,ねいろ,tone color / timbre,ねいろ
1.1,雨の音,あめのおと,sound of rain,あめのおと
1.1,音ぷ,おんぷ,musical note,おんぷ
1.1,右がわ,みぎがわ,right side,みぎがわ
1.1,青空,あおぞら,blue sky,あおぞら
1.1,青年,せいねん,youth / young man,せいねん
1.1,青い,あおい,blue,あおい
1.1,人げん,にんげん,human,にんげん
1.1,めい人,めいじん,master / expert,めいじん
1.1,人ごみ,ひとごみ,crowd of people,ひとごみ
1.1,見学,けんがく,field trip / study,けんがく
1.1,見える,みえる,to be visible,みえる
1.1,見る,みる,to see,みる
1.1,円けい,えんけい,circular shape,えんけい
1.1,円ばん,えんばん,disk,えんばん
1.1,円い,まるい,round,まるい
1.1,赤はん,せきはん,red rice (festive),せきはん
1.1,赤ちゃん,あかちゃん,baby,あかちゃん
1.1,赤い車,あかいくるま,red car,あかいくるま
1.1,早める,はやめる,to hasten,はやめる
1.1,早足,はやあし,quick pace,はやあし
1.1,早い,はやい,early / fast,はやい
1.1,本名,ほんみょう,real name,ほんみょう
1.1,名じん,めいじん,master / expert,めいじん
1.1,名まえ,なまえ,name,なまえ
1.1,正かい,せいかい,correct answer,せいかい
1.1,正じき,しょうじき,honest,しょうじき
1.1,正しい,ただしい,correct / right,ただしい
1.1,てん字,てんじ,braille,てんじ
1.1,すう字,すうじ,number / digit,すうじ
1.1,かん字,かんじ,kanji characters,かんじ
1.1,こく王,こくおう,king,こくおう
1.1,王かん,おうかん,crown,おうかん
